,BLOCK_NUMBER,BLOCK_TIME,TOKEN_A_IN,TOKEN_A_OUT,TOKEN_B_IN,TOKEN_B_OUT,SENDER,TX_HASH
69,14560396,1649655268,0.01,0.0,0.0,3.2805028e-11,0x53d233e2BC120F195082e024DeED06C6f6027468,0xd20d8026d3881cc59143df72b4e0e007dc312b20869abfedae3acc39f53a49ec
70,14560398,1649655333,0.10261132203031577,0.0,0.0,3.36615021e-10,0xd59E7234FFaFdd77dfB52d28344E4B7Dc60098c9,0xe0e992259bb4bd28a8eb2dcebd122a30332769c0464fbd2a9860444156883ba5
71,14560402,1649655470,0.0,0.5234440406342363,1.727533281e-09,0.0,0x2Dfee65fED72b6205FD8e8599a21293aadA32448,0x7eb47e16a9fcbf9d450ac7ae8d04c2606467d7210f8bf0f634d931580eed5f7e
72,14560410,1649655542,0.0,0.6626164675400269,2.186964463e-09,0.0,0x20AfBF05888CecbB547AFb4eC25056444C59F9aD,0x875aa35bda50170fc966fd3286bd0e8b7d2ed4eb4c21dee9c4c5ad521e18e544
73,14560411,1649655556,0.2784723960721328,0.0,0.0,9.13607326e-10,0x166CB1Ca2909576Af678B769bd18D37323eA93c2,0xf9357f721594e00cb415f6c71ff04592cb2e6257f306847a4691db6e4a26a1da
74,14560411,1649655556,0.0,0.04847718542057855,1.6e-10,0.0,0x6C9325E3Eca43242D2e0e44d87AE8c06527BDb9F,0x00fcaead48bd64e32aaf914618ff9400deff1f0bf76e7bd7cd66ae2fadfd532c
75,14560413,1649655618,2.640603231102524,0.0,0.0,8.662141544e-09,0x5974a5C9aD70E7700Efb35C24b0F7811C8926d15,0x25c8e143f21f2346f77849c45915efa454674a244f8f159a831ec500df5d6097
76,14560415,1649655635,0.0,0.4443097990741077,1.466136963e-09,0.0,0x99CF3c1098CaD62F4ff3654420D4c8b783f97c40,0xc5eef92a2e2bd66d1335b3ed39d354a7c47cc37fe31041c84030233a17bb81e4
77,14560416,1649655693,2.302206928086415,0.0,0.0,7.550695949e-09,0x827A42829eA0C7105e57fF48b33e060A83AeE4Dc,0xaf7471ed561fd3c7729c2e21c607bd4573be5786b95d369587c0ecb4b5c18021
78,14560418,1649655700,0.0,0.33674438876713086,1.111e-09,0.0,0x5974a5C9aD70E7700Efb35C24b0F7811C8926d15,0x3b945eb19ad1bc4164d695437b88a08e92b475e35dada0750f0a43f46074090c
