,date,estimate_income,estimate_il,estimate_mining
0,2022-04-01,0.01990162145696629,0.016069985699367573,0.0446888631996594
1,2022-04-02,0.0039105833711675,0.0017887768649467173,0.028100798201599275
2,2022-04-03,0.0006855720000920654,0.0023254149480738118,0.028020361935971835
3,2022-04-04,0.0013373404605737614,0.00022654025203894257,0.028315703287341072
4,2022-04-05,0.0018379774383208353,7.867226260316329e-05,0.028619828087813576
5,2022-04-06,0.0011843284220776178,0.000759858431733651,0.027080188801076176
6,2022-04-07,0.0002623936255811611,0.0025202922331231115,0.03792295258186641
7,2022-04-08,0.00034525933028535516,1.801760130182295e-05,0.03452450026177465
8,2022-04-09,0.001864760577707101,2.5372784632660128e-05,0.0293495525237079
9,2022-04-10,1.3451444136738716e-06,0.0,0.029348605389248102
